Cno ,  Csize , CEdge , CDensity , Cluster Info
C150,4,4,0.75,"[ERFE, LRP1, TMEM25, LOXL2]"
C151,4,4,0.75,"[IKBKB, DHCR24, PYGL, TEX101]"
C152,4,4,0.75,"[PGRMC1, DHCR24, CFTR, TP53]"
C153,4,4,0.75,"[HRAS, DHCR24, SLC4A7, ESR1]"
C154,4,4,0.75,"[DEFA5, LOXL2, PC, LRP1]"
C155,4,4,0.75,"[APCDD1, LTF, HBB, FRMD1]"
C156,4,4,0.75,"[NCL, LTF, FN1, DHX30]"
C157,4,4,0.75,"[GSK3B, LTF, DYNLL1, METTL3]"
C158,4,4,0.75,"[CP, LTF, APOA1, SNX27]"
C159,4,4,0.75,"[MKLN1, SOAT1, PIGT, HSCB]"
C160,4,4,0.75,"[SEMA7A, SOAT1, SGPL1, PKN2]"
C161,4,4,0.75,"[SNX4, AGK, CFTR, RAB5A]"
C162,4,4,0.75,"[RPL10, SGPL1, CFTR, AIFM1]"
C163,4,4,0.75,"[INPPL1, MCCC2, PCCB, MRPL58]"
C164,4,4,0.75,"[EPS15, MCCC2, FN1, C1QBP]"
C165,4,4,0.75,"[CDH13, PIGU, CFTR, RPN1]"
C166,4,4,0.75,"[NEK9, NSMAF, DYNLL1, RACK1]"
C167,4,4,0.75,"[TNFRSF1A, NSMAF, CAD, NEK4]"
C168,4,4,0.75,"[STX4, TACR1, FN1, ATP5F1B]"
C169,4,4,0.75,"[CYLD, SPHK1, CAD, TRAF2]"
C170,4,4,0.75,"[HDLBP, FGB, DYNLL1, PAK1]"
C171,4,4,0.75,"[ALB, APOA1, CA8, IGKC]"
C172,4,4,0.75,"[RPS3, DDIT3, DYNLL1, PCM1]"
C173,4,4,0.75,"[ST13, NOS3, FN1, HSP90AA1]"
C174,4,4,0.75,"[COPS3, PTGS2, HBB, PSMC5]"
C175,4,4,0.75,"[DYRK1B, PCBD1, DYNLL1, CUL1]"
C176,4,4,0.75,"[ARF6, GPAA1, FN1, ATP5F1B]"
C177,4,4,0.75,"[TAFA4, FN1, PTS, ARHGEF1]"
C178,3,3,0.5,"[SNCA, DHCR24, GBA]"
C179,3,2,0.75,"[FN1, VPS35, SIPA1]"
C180,3,2,0.75,"[CFTR, LIN7C, RYR2]"
C181,3,2,0.75,"[DYNLL1, ELL, NLN]"
C182,3,2,0.75,"[FGB, ATG3, DUSP3]"
C183,3,2,0.75,"[CAD, LGALS3BP, TP63]"
C184,3,2,0.75,"[APOA1, LCAT, CLU]"
C185,3,2,0.75,"[OCRL, AP2S1, LTF]"
C186,3,2,0.75,"[DDIT3, CUL3, G3BP2]"
C187,3,2,0.75,"[TACR1, ND1, ND4]"
C188,3,2,0.75,"[SOAT1, SMPD3, HSCB]"
C189,3,2,0.75,"[CERK, ILKAP, U2AF2]"
C190,3,2,0.75,"[ACACA, CSNK1E, NUP50]"
C191,3,2,0.75,"[HBB, FRMD1, ARHGEF6]"
C192,3,2,0.75,"[CA14, DNM1L, EXOC6]"
C193,3,2,0.75,"[SELENBP1, GPX1, SYT16]"
C194,3,2,0.75,"[CD1B, MAN1A1, MR1]"
C195,3,2,0.75,"[GLB1, ATP6AP2, VIM]"
C196,3,2,0.75,"[NSMAF, CCT2, PKP3]"
C197,3,2,0.75,"[SLC4A7, VSIG4, SH2D3C]"
C198,3,2,0.75,"[ENPP6, NDUFB4, LMF2]"
C199,3,2,0.75,"[EFEMP2, CCDC33, ZNF638]"
C200,3,2,0.75,"[LOXL2, MTA1, ELN]"
C201,3,2,0.75,"[SGPL1, BAD, PKN2]"
C202,3,2,0.75,"[GPX7, CHMP1A, SEC23IP]"
C203,3,2,0.75,"[BCHE, SLAMF1, CPSF7]"
C204,3,2,0.75,"[PIGT, ZNF609, TOR1AIP1]"
C205,3,2,0.75,"[CA8, AHSG, CDSN]"
C206,3,2,0.75,"[GBA, HSP90B1, MTREX]"
C207,3,2,0.75,"[CD1E, TMEM67, ANKRD46]"
C208,3,2,0.75,"[PC, ERBB2, SLAMF1]"
C209,3,2,0.75,"[DHCR24, CISD3, CKAP5]"
C210,3,2,0.75,"[UGT8, LMAN2L, ADRA1A]"
C211,3,2,0.75,"[COL4A3BP, PNMA2, NAP1L5]"
C212,3,2,0.75,"[ABCA1, CREBBP, CANX]"
C213,3,2,0.75,"[STS, GPHN, SIDT2]"
C214,3,2,0.75,"[TXNRD1, CRYZ, TNPO1]"
C215,3,2,0.75,"[ASAH1, TBC1D22B, ZNF556]"
C216,3,2,0.75,"[TF, MYC, DRD2]"
C217,3,2,0.75,"[PYGL, OGFOD1, FH]"
C218,3,2,0.75,"[GM2A, FTH1, GID8]"
C219,3,2,0.75,"[AGK, BAD, AGO4]"
C220,3,2,0.75,"[SMPD4, TEAD2, ERBB2]"
C221,3,2,0.75,"[MCCC1, CUL4B, MAIP1]"
C222,3,2,0.75,"[GPAA1, ATP5F1B, DPEP1]"
C223,3,2,0.75,"[NPC2, NEDD4L, LRP1]"
C224,3,2,0.75,"[CELA1, EIF4E2, PRRC2A]"
C225,3,2,0.75,"[FBN2, EGLN3, DISC1]"
C226,3,2,0.75,"[PLG, ARHGAP20, ARHGAP26]"
C227,3,2,0.75,"[PIGS, TMEM131, SF3B1]"
C228,3,2,0.75,"[NOS3, HBA1, SIRT1]"
C229,3,2,0.75,"[TH, TAB1, HR]"
C230,3,2,0.75,"[UGCG, C16orf58, CHMP4B]"
C231,3,2,0.75,"[F2, ITGA2B, SERPING1]"
C232,3,2,0.75,"[NOS1, PUM2, CKAP4]"
C233,3,2,0.75,"[ACP6, RSU1, ECH1]"
C234,3,2,0.75,"[GCHFR, CBFB, EIF4G1]"
C235,3,2,0.75,"[GALC, HIST1H1C, IER2]"
C236,3,2,0.75,"[CELA3A, TUBA4A, TMEM132A]"
C237,3,2,0.75,"[CELA2B, C16orf70, NBN]"
C238,3,2,0.75,"[RORA, FOXP3, RUVBL1]"
C239,3,2,0.75,"[TXNRD2, NDUFA13, HSCB]"
C240,3,2,0.75,"[FBLN5, IQCN, TOP3B]"
C241,3,2,0.75,"[DHCR7, ACP6, TMPRSS4]"
C242,3,2,0.75,"[PIGM, LTB4R2, UPK1A]"
C243,3,2,0.75,"[PLSCR4, ALG13, MTUS2]"
C244,3,2,0.75,"[PIGQ, SMAD1, PMEL]"
C245,3,2,0.75,"[SPHK1, TRAF6, FHL2]"
C246,3,2,0.75,"[LOXL3, RPL23, EDEM1]"
C247,3,2,0.75,"[CAV1, FAP, SMPD3]"
C248,3,2,0.75,"[ABCA7, SORT1, SYNCRIP]"
C249,3,2,0.75,"[QDPR, ENG, RXFP4]"
C250,3,2,0.75,"[ENPP7, MKS1, PDF]"
C251,3,2,0.75,"[PIGN, SPPL2B, ATP2B2]"
C252,3,2,0.75,"[PIGW, SPPL2B, GAL3ST1]"
C253,3,2,0.75,"[PIGU, F2RL1, SLC6A15]"
C254,3,2,0.75,"[FGG, HSPD1, NEK4]"
C255,3,2,0.75,"[PTS, ARHGEF1, AGO4]"
C256,3,2,0.75,"[PIGG, ESR1, SERPINH1]"
C257,3,2,0.75,"[SMPD1, OS9, ALG11]"
C258,3,2,0.75,"[SEPHS1, CUL3, PFAS]"
C259,3,2,0.75,"[SULT2B1, SULT1B1, ALS2CR12]"
C260,3,2,0.75,"[ABCG2, MYO5C, DBN1]"
C261,3,2,0.75,"[PCCA, IP6K3, YBEY]"
C262,3,2,0.75,"[GCH1, GCHFR, RPS12]"
C263,3,2,0.75,"[SEPSECS, LZTFL1, SOX2]"
C264,3,2,0.75,"[PLEKHA8, FANCI, MASTL]"
C265,3,2,0.75,"[PIGB, WTAP, TMPRSS12]"
C266,3,2,0.75,"[GBA2, LAMTOR5, AFG3L2]"
C267,3,2,0.75,"[CERS5, CD83, C3AR1]"
C268,3,2,0.75,"[TP53, CELA2B, DHCR24]"
C269,3,2,0.75,"[SUOX, COX6B1, NUP62]"
C270,3,2,0.75,"[LIPE, CAVIN1, PLIN2]"
C271,3,2,0.75,"[CNR1, GNAI3, GNAI2]"
C272,3,2,0.75,"[FGA, TRIM33, SOD1]"
C273,3,2,0.75,"[GPX4, OTUB1, PPIB]"
C274,3,2,0.75,"[ALDH6A1, NDUFS7, ABRAXAS1]"
C275,3,2,0.75,"[FBXO6, ASAH1, UGT8]"
C276,3,2,0.75,"[ACACB, HIST4H4, HMGA1]"
C277,3,2,0.75,"[LOX, MAD2L2, SOX2]"
C278,3,2,0.75,"[YWHAQ, PLG, FGB]"
C279,3,2,0.75,"[IL6, SH3GL2, SORL1]"
C280,3,2,0.75,"[GP6, HIST3H3, YES1]"
C281,3,2,0.75,"[HSPA5, LOXL3, TXNRD1]"
C282,3,2,0.75,"[IQCB1, QDPR, CA14]"
C283,3,2,0.75,"[CYP19A1, CD109, H2AFX]"
C284,3,2,0.75,"[GLTP, CMTM5, SHKBP1]"
C285,3,2,0.75,"[SEPHS2, NEK4, ZNF408]"
C286,3,2,0.75,"[LBP, LOC100293069, IRF6]"
C287,3,2,0.75,"[DIO2, USP20, MARCH6]"
C288,3,2,0.75,"[KPNB1, SMPD4, PLEKHA8]"
C289,3,2,0.75,"[SEC61B, SMPD4, SOAT1]"
C290,3,2,0.75,"[CA4, TEX101, CDK18]"
C291,3,2,0.75,"[HTR3A, ABCA7, PIGG]"
C292,3,2,0.75,"[NOTCH2NLA, CA6, CERK]"
C293,3,2,0.75,"[RACK1, SMPD3, NSMAF]"
C294,3,2,0.75,"[RIPK4, GBA, ENPP6]"
C295,3,2,0.75,"[ABCB1, HMMR, RNF2]"
C296,3,2,0.75,"[LGALS3, ABCB1, SLC4A7]"
C297,3,2,0.75,"[BAG6, CERK, EFEMP2]"
C298,3,2,0.75,"[APP, DHCR24, NOS3]"
C299,3,2,0.75,"[B2M, CD1A, CD1E]"
C300,3,2,0.75,"[CYP11A1, SMAD9, SMAD3]"
C301,3,2,0.75,"[A2M, CPB2, LCAT]"
C302,3,2,0.75,"[RAB5A, AGK, OCRL]"
C303,3,2,0.75,"[RHOA, SGPL1, GLB1]"
